#变体	本体	本体词词频（可省略）
兴高彩列	兴高采烈	100
吹唐人	吹糖人	100
百年家具	百年家居
泄药	泻药
称做	称作	100
化学成份	化学成分	100
天地无垠	天地无限	100
欲妄	欲望
满头大汉	满头大汗
一阙	一阕	300
斗音	抖音	100
人材	人才	100
微亅信	微信	100
微·信	微信	1000
一毛不陪	一毛不赔	200
无线大	无限大	1
正加	增加
相对得	相对地
越来越底	越来越低
个纾	个数
曾加	增加
情怳	情况
持续的	持续地
不断的	不断地
成现	呈现
家重	加重
中国子	中国字
计录	记录
一落千仗	一落千丈
婴而	婴儿
负贵	富贵
旁遍	旁边
续承	继承
约来越晚	越来越晚
提共	提供
行成	形成
读哩	独立
忙绿	忙碌
年经人	年轻人
智识	知识
一但	一旦
指摘	指责
懹人民自己选择	让人民自己选择
紧裤	辛苦
放心地生活	放心的生活
但靠一份收入	单靠一份收入
多付出地几十倍	多付出的几十倍
化钱	花钱
依些	一些
耐心的教育	耐心地教育
多某些人来说	对某些人来说
列子	例子
普便	普遍
单纯的说	单纯地说
相对得坏处	相对的坏处
改很多幼稚园	盖很多幼稚园
不断的增加	不断地增加
谈讨	探讨
小还	小孩
未普边	未普遍
考良	考量
过的不错	过得不错
手医学治疗	受医学治疗
数为至少四个人	数位至少四个人
小子化	少子化
间直	简直
每办法	没办法
青跨	情况
最总	最终
僱佣	僱用
渐渐的形成	渐渐地形成
渐渐的增加	渐渐地增加
不断的改变	不断地改变
不断的提高	不断地提高
莫些年	某些年
成工	成功
线然	显然
一长争段	一长争短
在加上	再加上
一后	以后
自起	自己
年轻得夫妇	年轻的夫妇
真的事对	真的是对
养小还	养小孩
不彷	不妨
疏缓	舒缓
上叙	上述
或着市	或者是
学习地意愿	学习的意愿
按部就班	按步就班
全面的规划	全面地规划
纾缓	舒缓
年少气胜	年少气盛
新家坡	新加坡
变的很轻松	变得很轻松
我门	我们
月来越好	越来越好
发生国	发生过
以开发国家	已开发国家
以开发	已开发
赛翁失马	塞翁失马
非常的宝贵	非常地宝贵
列如	例如
非常的珍贵	非常地珍贵
二零五龄年	二零五零年
証明	证明
一间一间的关必	一间一间地关闭
缠能收割	才能收割
朗朗称道	琅琅称道
缠能拯救	才能拯救
付其责	负其责
还而	孩儿
自然而然的	自然而然地
现再	现在
一间一间的在建造	一间一间地在建造
惰胎	堕胎
给与	给予
少字化	少子化
狂大	广大
至到	直到
作些政策	做些政策
想望	向往
低免	抵免
展生	产生
源料	原料
好好的准备	好好地准备
庄况	状况
因发	引发
自记	自己
桃论	讨论
负单	负担
而以	而已
政符	政府
邀情	邀请
郑加	增加
全心全力的	全心全力地
进一份力	尽一份力
不断的努力	不断地努力
厉害关系	利害关系
相像	现象
题及	提及
剥歇	剥削
下起	下去
了所学校	各所学校
很好得一份工作	很好的一份工作
来的这么快	来得这么快
言前	眼前
所担任的是有限	所担任的事有限
放面	方面
办发	办法
有趣的说到	有趣地说到
坚帧不移	坚贞不移
心力绞碎	心力交瘁
开发看经济	开发和经济
有效的规划	有效地规划
流守	留守
生济	生计
带欠缺	但欠缺
堆动	推动
表达的是	表达的事
所以问题	所有问题
由其固定的速度	有其固定的速度
乐与减少	乐于减少
变的困难	变得困难
多馀	多于
长远的看	长远地看
血浓与水	血浓于水
表面的看	表面地看
推称出新	推陈出新
脱离萍	脱离贫
时间一天一天的过去	时间一天一天地过去
提昌	提倡
续多	许多
现进	先进
销费率	消费率
直接的被感受	直接地被感受
陪养	培养
主在乡下	住在乡下
弄多的很快	弄多得很快
他门	他们
持续的下降	持续地下降
相对的减少	相对地减少
相对的提高	相对地提高
适当的生育	适当地生育
成功的制定	成功地制定
青少年门	青少年们
慎重的希望	慎重地希望
娇傲	骄傲
亲爱的少年门	亲爱的少年们
少子华	少子化
生上	身上
不断的鼓励	不断地鼓励
具造	制造
单初	当初
发掌	发展
大幅度的提升	大幅度地提升
负担地因素	负担的因素
亘多医疗费用	更多医疗费用
餵了	为了
照成	造成
教育基精	教育基金
装造性	创造性
观察关	观察官
怎么形成地	怎么形成的
比年长者来的多	比年长者来得多
不单	不但
变的更良好	变得更良好
变的更大	变得更大
壤大众理解	让大众理解
上免得分析	上面的分析
已经再发生了	已经在发生了
带来得危机	带来的危机
恶讯循环	恶性循环
他得生活费	他的生活费
以开发地区	已开发地区
长其	长期
经额	金额
在过几十年	再过几十年
作为探讨	做为探讨
系根据	是根据
位于	为于
份公司	分公司
要作塑胶袋	要做塑胶袋
还不过	还不够
逃战	挑战
再服务业	在服务业
招莫	招募
坐者	坐着
仔细的观察	仔细地观察
三个凑皮匠	三个臭皮匠
个中各样	各种各样
不啻	不是
即史	即使
岂有此里	岂有此理
组宠物的人	租宠物的人
浅溥	浅薄
处里	处理
他们得不负责任的态度	他们的不负责任的态度
出租得事	出租的事
这样以来	这样一来
题高	提高
厌力	压力
事情阿	事情啊
又意思	有意思
建慷	健康
真恭喜妳阿	真恭喜妳啊
抱见阿	抱歉啊
幸苦	辛苦
参家	参加
回来台湾	会来台湾
生体	身体
总视	总是
一把很大的化	一把很大的花
出你	祝你
高心	高兴
应为	因为
洗碗	希望
那理	那里
根她坐公共汽车	跟她坐公共汽车
公克	功课
根林美美去	跟林美美去
一前	以前
傍边	旁边
总明	聪明
最难得课	最难的课
在马上去	再马上去
建在	现在
事等我女朋友的	是等我女朋友的
客爱	可爱
象片	相片
也雪	也许
录的	绿的
纲来	刚来
让后	然后
真得是坏人	真的是坏人
提以	提议
大的家	他的家
从是	总是
有处	有趣
课目	科目
看得是美国电影	看的是美国电影
兴奋得	兴奋地
控的时间	空的时间
内容懂不清楚	内容都不清楚
谊起	一起
打公车	搭公车
近去	进去
林美妹	林美美
唷意思	有意思
蔘加	参加
再开一个好把	再开一个好吧
兴起不好	心情不好
庆祝地会	庆祝的会
漂漂亮亮地风景	漂漂亮亮的风景
再庆祝一次把	再庆祝一次吧
找的时间	找个时间
间妈妈	见妈妈
无会	舞会
解我的朋友	请我的朋友
日字	日子
但然	当然
障爱文	张爱文
已定	一定
澳是	要是
长爱文	张爱文
理物	礼物
延后	然后
合问她	和问她
恨高兴	很高兴
一让	一样
帮别的学生的芒	帮别的学生的忙
沾着	站着
怒朋友	女朋友
下明	小明
老师文学生	老师问学生
他清她吃饭	他请她吃饭
还没作	还没做
座公车	坐公车
打篹	打算
沾起来	站起来
再起床呢	在起床呢
再黑板写的东西	在黑板写的东西
不输服	不舒服
很哩	很累
警张	紧张
劳天	聊天
很来	很累
多要	都要
奴朋友	女朋友
高兴的不得了	高兴得不得了
里学校很近	离学校很近
音龠	音乐
合唱父系语法	和常复习语法
税觉	睡觉
觉得贰	觉得饿
对不气	对不起
情你去吃饭	请你去吃饭
不局道	不知道
你好马	你好吗
岑么样	怎么样
可以马	可以吗
我想情你	我想请你
火者站	火车站
聊体	聊天
最前的子	最前的字
座捷运	坐捷运
哪哩	哪里
十只路口	十字路口
不智道	不知道
怎门办	怎么办
点视机	电视机
已后	以后
妳会时后	妳回时候
漂凉	漂亮
票凉	漂亮
又漂亮的衣服	有漂亮的衣服
清卖给我	请买给我
红虹	红红
待你的国家	到你的国家
太样兵	太阳饼
不拘导	不知道
不咀导	不知道
这哩	这里
成市	城市
发山	爬山
风镜	风景
他杏林	他姓林
痕累	很累
方假	放假
风京	风景
座火车	坐火车
他的华	他的话
户然	忽然
理面	里面
做回去	坐回去
出们	出门
愿赖	原来
吧手	把手
厅路上	听路上
定车	停车
高现	高兴
排照	拍照
他的婉	他的腕
原意	愿意
没人琣他	没人陪他
歹去	带去
自即	自己
开是	开始
和一点饮料	喝一点饮料
录行	旅行
谈着谈者	谈着谈着
漂亮的术	漂亮的树
戴我	载我
作天	昨天
很日	很热
照篇	照片
我借你们	我接你们
握着我的朋友	我找我的朋友
台配种战	台北总站
来我的家完	来我的家玩
营为	因为
她门	她们
些日会	生日会
右遍	右边
开时	开始
做八八的公车	坐八八的公车
对们	对门
学玩了	学完了
票漂亮亮	漂漂亮亮
喜暗	喜欢
括大风	刮大风
批具	啤酒
骠了	漂亮
瞅天	秋天
难德	南德
不太施	不太湿
冬天件	冬天间
愁天	秋天
塞太阳	晒太阳
跟美	很美
单让	当然
