U+4E00: yī  # 一
U+4E01: dīng  # 丁
U+4E03: qī  # 七
U+4E07: wàn  # 万
U+4E08: zhàng  # 丈
U+4E09: sān  # 三
U+4E0A: shàng,shang  # 上
U+4E0B: xià,xia  # 下
U+4E0D: bù,bu  # 不
U+4E0E: yǔ,yù  # 与
U+4E11: chǒu  # 丑
U+4E13: zhuān  # 专
U+4E14: qiě  # 且
U+4E16: shì  # 世
U+4E18: qiū  # 丘
U+4E19: bǐng  # 丙
U+4E1A: yè  # 业
U+4E1B: cóng  # 丛
U+4E1C: dōng  # 东
U+4E1D: sī  # 丝
U+4E1F: diū  # 丟
U+4E22: diū  # 丢
U+4E24: liǎng  # 两
U+4E25: yán  # 严
U+4E27: sàng  # 丧
U+4E2A: gè,ge,gě  # 个
U+4E2B: yā  # 丫
U+4E2D: zhōng,zhòng  # 中
U+4E30: fēng  # 丰
U+4E32: chuàn  # 串
U+4E34: lín  # 临
U+4E38: wán  # 丸
U+4E39: dān,dan  # 丹
U+4E3A: wèi,wéi  # 为
U+4E3B: zhǔ  # 主
U+4E3D: lì  # 丽
U+4E3E: jǔ,ju  # 举
U+4E43: nǎi  # 乃
U+4E45: jiǔ  # 久
U+4E48: me  # 么
U+4E49: yì  # 义
U+4E4B: zhī  # 之
U+4E4C: wū  # 乌
U+4E4E: hu,hū  # 乎
U+4E4F: fá  # 乏
U+4E50: lè,yuè  # 乐
U+4E52: pīng  # 乒
U+4E53: pāng  # 乓
U+4E56: guāi  # 乖
U+4E58: chéng  # 乘
U+4E59: yǐ  # 乙
U+4E5D: jiǔ  # 九
U+4E5F: yě  # 也
U+4E60: xí  # 习
U+4E61: xiāng  # 乡
U+4E66: shū  # 书
U+4E70: mǎi  # 买
U+4E71: luàn  # 乱
U+4E73: rǔ  # 乳
U+4E82: luàn  # 亂
U+4E86: le,liǎo,liào  # 了
U+4E88: yǔ  # 予
U+4E89: zhēng  # 争
U+4E8B: shì,shi  # 事
U+4E8C: èr  # 二
U+4E8E: yú  # 于
U+4E8F: kuī  # 亏
U+4E91: yún  # 云
U+4E92: hù  # 互
U+4E94: wǔ  # 五
