U+3401: tiàn  # 㐁
U+3406: yǐn  # 㐆
U+340C: yí  # 㐌
U+3416: xié  # 㐖
U+3424: dān,qiú  # 㐤
U+3428: xù  # 㐨
U+3429: xíng  # 㐩
U+3432: dài  # 㐲
U+3433: wù  # 㐳
U+3438: qiàn,cì  # 㐸
U+343A: yín,zhòng  # 㐺
U+343B: nèi  # 㐻
U+3449: sù  # 㑉
U+344A: yì  # 㑊
U+344B: qióng  # 㑋
U+344C: wāng,kuāng  # 㑌
U+344D: lèi  # 㑍
U+344E: nǎo  # 㑎
U+3450: shū  # 㑐
U+3457: shēn  # 㑗
U+3459: dié  # 㑙
U+345A: nuó  # 㑚
U+345B: sù  # 㑛
U+345C: yì,chì  # 㑜
U+345E: yìng  # 㑞
U+345F: běng  # 㑟
U+3463: lán  # 㑣
U+3465: yì  # 㑥
U+3466: lì  # 㑦
U+346E: hún  # 㑮
U+346F: xǔ  # 㑯
U+3473: zhòu,zhū  # 㑳
U+3476: xì  # 㑶
U+3478: yáo  # 㑸
U+347B: mà  # 㑻
U+347C: lüè  # 㑼
U+347E: yáo  # 㑾
U+347F: zhào  # 㑿
U+3480: zhāi,zhǎ  # 㒀
U+3481: yǔ  # 㒁
U+3482: zhuó  # 㒂
U+3484: rǎn  # 㒄
U+3485: qǐ  # 㒅
U+3487: wǔ  # 㒇
U+3488: hàn  # 㒈
U+348A: sè  # 㒊
U+348D: léi  # 㒍
U+348E: sà  # 㒎
U+3491: kuǐ,huì  # 㒑
U+3493: tà  # 㒓
U+3494: shú,dú,tù  # 㒔
U+3495: yāng  # 㒕
U+3499: mián  # 㒙
U+349A: yìn,wěn  # 㒚
U+349B: diào  # 㒛
U+349C: yǔ  # 㒜
U+349D: miè,wà  # 㒝
U+349F: niǎo  # 㒟
U+34A0: xiè  # 㒠
U+34A1: yóu  # 㒡
U+34A4: chè  # 㒤
U+34A5: fēng  # 㒥
U+34A6: lěi,lèi  # 㒦
U+34B4: gǔ  # 㒴
U+34B8: suì  # 㒸
U+34BC: mán  # 㒼
U+34BD: quān  # 㒽
U+34BE: shì  # 㒾
U+34BF: lí  # 㒿
U+34C3: dù  # 㓃
U+34C4: zhèn  # 㓄
U+34C5: tīng  # 㓅
U+34C8: bìng  # 㓈
U+34C9: huò  # 㓉
U+34CA: dòng  # 㓊
U+34CB: gòng  # 㓋
U+34CC: chēng  # 㓌
U+34CE: qīn,qìn,qǐn  # 㓎
U+34CF: jiǒng  # 㓏
U+34D0: lù  # 㓐
U+34D1: xìng  # 㓑
U+34D3: nán  # 㓓
U+34D4: xiè  # 㓔
U+34D6: bì  # 㓖
U+34D8: sù  # 㓘
U+34DA: gōng  # 㓚
U+34DE: qià  # 㓞
U+34DF: pí  # 㓟
U+34E0: diàn,diǎn  # 㓠
U+34E1: fǔ,guā  # 㓡
U+34E2: luò  # 㓢
U+34E3: qià,gē  # 㓣
U+34E4: qià  # 㓤
U+34E6: bāi  # 㓦
U+34E7: gān  # 㓧
U+34E9: xuān,jiē  # 㓩
U+34ED: shé  # 㓭
U+34F1: tóu,shū  # 㓱
U+34F2: piān  # 㓲
U+34F3: dī  # 㓳
U+34F4: ruǎn  # 㓴
U+34F6: qiè  # 㓶
U+34F8: zhuō,dōu  # 㓸
U+34F9: ruì,cuì,jì  # 㓹
U+34FA: jiān,qián  # 㓺
U+34FC: chì  # 㓼
U+34FD: chóng  # 㓽
U+34FE: xī,chí  # 㓾
U+3501: dēng  # 㔁
U+3502: lín  # 㔂
U+3503: jué,xuē  # 㔃
U+3504: sù  # 㔄
U+3505: xiào  # 㔅
U+3506: zàn  # 㔆
U+350A: zhǎn,dǎn  # 㔊
U+350B: jiān,lán  # 㔋
U+350C: zòu,cǒu  # 㔌
U+350D: chuā,zhá  # 㔍
U+350E: xiè  # 㔎
U+350F: lì,luǒ  # 㔏
U+3512: xí  # 㔒
U+3513: jiǎn  # 㔓
U+3515: jí  # 㔕
U+3517: fèi,bèi,fú  # 㔗
U+3519: bēng  # 㔙
U+351D: liǎng,liáng  # 㔝
U+351E: kuài  # 㔞
U+3520: xiā,hé  # 㔠
U+3521: biē  # 㔡
U+3522: jué,xuē  # 㔢
U+3523: léi  # 㔣
U+3524: xìn  # 㔤
U+3525: bài,pí  # 㔥
U+3526: yǎng  # 㔦
U+3528: bèi  # 㔨
U+3529: è  # 㔩
U+352A: lǔ  # 㔪
U+352E: nuó  # 㔮
U+352F: xuán,suǎn  # 㔯
U+3534: yì  # 㔴
U+3535: xuǎn  # 㔵
U+3536: gòng,gǎn  # 㔶
U+3537: lòu  # 㔷
U+3538: tī  # 㔸
U+3539: lè  # 㔹
U+353E: xiān,jié  # 㔾
U+353F: zòu  # 㔿
U+3542: yín,qín  # 㕂
U+3543: xī  # 㕃
U+3544: zhǐ  # 㕄
U+3545: jiá  # 㕅
U+3546: hù  # 㕆
U+3547: lā  # 㕇
U+3548: yǐ  # 㕈
U+3549: kè  # 㕉
U+354A: fū  # 㕊
U+354B: qín  # 㕋
U+354C: ài  # 㕌
U+354E: kè  # 㕎
U+3550: xiě,xiè  # 㕐
U+3552: wēi  # 㕒
U+3559: jùn  # 㕙
U+355A: zhǎo  # 㕚
U+355E: shuā  # 㕞
U+355F: kuì,kuài  # 㕟
U+3562: gài,hài  # 㕢
U+3563: yǎn  # 㕣
U+3565: shēn  # 㕥
U+3566: huà  # 㕦
U+3567: xī  # 㕧
U+3568: fàn  # 㕨
U+3569: pàng  # 㕩
U+356A: dǎn  # 㕪
U+356B: fǎng,fēng  # 㕫
U+356C: gōng,sòng  # 㕬
U+356D: āo,ào  # 㕭
U+356E: fǔ  # 㕮
U+356F: nè  # 㕯
U+3570: xuè,ma  # 㕰
U+3571: yóu  # 㕱
U+3572: huá,yíng  # 㕲
U+3574: chén  # 㕴
U+3575: guó  # 㕵
U+3576: ňg,ň  # 㕶
U+3577: huà,pā  # 㕷
