U+3447: zhòu  # 㑇
U+344C: kuāng  # 㑌
U+3469: luó  # 㑩
U+3473: zhòu  # 㑳
U+3493: tà  # 㒓
U+34E6: bāi  # 㓦
U+3509: zhǔ  # 㔉
U+351A: jié  # 㔚
U+3551: chú  # 㕑
U+355C: shǐ  # 㕜
U+3560: shuāng  # 㕠
U+3576: ň,ňg  # 㕶
U+358A: xún  # 㖊
U+359E: wāi  # 㖞
U+35C4: kū  # 㗄
U+35CF: wāi  # 㗏
U+35D1: bai  # 㗑
U+3604: lēng  # 㘄
U+3606: tǎi  # 㘆
U+360E: hǎn  # 㘎
U+3617: qū  # 㘗
U+3625: yóu  # 㘥
U+362D: ào  # 㘭
U+3631: tān  # 㘱
U+3635: bù  # 㘵
U+3658: yāo  # 㙘
U+365F: lǎng  # 㙟
U+3666: xié  # 㙦
U+3681: qiào  # 㚁
U+36A2: nú  # 㚢
U+36BB: jī  # 㚻
U+36C3: jié  # 㛃
U+3743: miǎn  # 㝃
U+3761: zuì  # 㝡
U+377F: bǒ  # 㝿
U+378E: bǎ  # 㞎
U+3797: qiú  # 㞗
U+3798: dū  # 㞘
U+379E: sóng  # 㞞
U+37C2: mǔ  # 㟂
U+37D6: lòng  # 㟖
U+37E4: lù  # 㟤
U+37F7: da  # 㟷
U+3804: xí  # 㠄
U+382F: yǐ  # 㠯
U+383E: yuān  # 㠾
U+3851: qiāo  # 㡑
U+3853: kūn  # 㡓
U+3860: zhèng  # 㡠
U+3861: chú  # 㡡
U+3867: zhèng  # 㡧
U+3905: ài  # 㤅
U+3918: zhòu  # 㤘
U+3925: hài  # 㤥
U+394F: tiǎn  # 㥏
U+3966: qiè  # 㥦
U+396E: zhòu  # 㥮
U+3975: hùn  # 㥵
U+39C0: jí  # 㧀
U+39CF: gāng  # 㧏
U+39D0: sǒng  # 㧐
U+39D1: huī  # 㧑
U+39DF: kuǎi  # 㧟
U+3A04: zhōu  # 㨄
U+3A17: jié  # 㨗
U+3A18: xǐng  # 㨘
U+3A2A: huàng  # 㨪
U+3A4B: xiāo  # 㩋
U+3A50: dèn  # 㩐
U+3A59: sāi  # 㩙
U+3A5F: zhài  # 㩟
U+3A73: sǒng  # 㩳
U+3A8D: bó  # 㪍
U+3ABA: jū  # 㪺
U+3AF0: làng  # 㫰
U+3B09: nuǎn  # 㬉
U+3B0A: huàn  # 㬊
U+3B0E: xiǎn  # 㬎
U+3B1F: fēn  # 㬟
U+3B24: qī  # 㬤
U+3B4E: gāng  # 㭎
U+3BA3: gài  # 㮣
U+3BBE: lǎng  # 㮾
U+3BED: lǔ  # 㯭
U+3BF3: qíng  # 㯳
U+3C0D: lóng  # 㰍
U+3C43: yǐn  # 㱃
U+3C84: jué  # 㲄
U+3C93: róng  # 㲓
U+3CB2: dié  # 㲲
U+3CC2: yán,yàn  # 㳂
U+3CC7: fù  # 㳇
U+3CE0: tà  # 㳠
U+3D29: yōng  # 㴩
U+3D50: jué  # 㵐
U+3D72: wǔ  # 㵲
U+3D81: guó  # 㶁
U+3D89: xī  # 㶉
U+3D91: liàn  # 㶑
U+3D9F: lěi  # 㶟
U+3DDF: tuì  # 㷟
U+3E4E: léi  # 㹎
U+3E62: jiā  # 㹢
U+3E6D: yì  # 㹭
U+3E80: hū  # 㺀
U+3E84: yǔ  # 㺄
U+3E85: hóu  # 㺅
U+3EA2: huò  # 㺢
U+3EEB: bì  # 㻫
U+3F08: luó  # 㼈
U+3F41: lì  # 㽁
U+3F4F: gàn  # 㽏
U+3F58: gǎng  # 㽘
U+3FB9: chái  # 㾹
U+4007: gǔ  # 䀇
U+4009: qiáo  # 䀉
U+400C: xì  # 䀌
U+4026: gǔ  # 䀦
U+4056: lōu  # 䁖
U+40AB: hāng  # 䂫
U+40C5: dī  # 䃅
U+40C9: mín  # 䃉
U+40CE: zhà  # 䃎
U+40D8: kēng  # 䃘
U+40E0: xuàn  # 䃠
U+40F0: cā  # 䃰
U+410D: zhà  # 䄍
U+413B: táo  # 䄻
U+415F: cǎn  # 䅟
U+41ED: lǎo  # 䇭
U+41F2: cè,jiā  # 䇲
U+41FD: zhé  # 䇽
U+420E: yè  # 䈎
U+426C: fèi  # 䉬
U+4272: mí  # 䉲
U+4275: zhuàn,zuǎn  # 䉵
U+42AA: lì  # 䊪
U+42CE: zhàn  # 䋎
U+4308: tā  # 䌈
U+4325: yǐn  # 䌥
U+4337: chōu,chóu  # 䌷
U+4339: jiǒng  # 䌹
U+4349: zhǎi  # 䍉
U+4361: lù  # 䍡
U+43B1: bà  # 䎱
U+43DD: zhuān  # 䏝
U+43FF: qǐ  # 䏿
U+441B: dā  # 䐛
U+4472: zhào  # 䑲
U+447D: tà  # 䑽
U+44A3: rǎn  # 䒣
U+44B7: guā  # 䒷
U+44BF: liáo  # 䒿
U+44D6: qióng  # 䓖
U+44E8: yīng  # 䓨
U+451B: qǐng  # 䔛
U+456D: qián  # 䕭
U+4577: mí  # 䕷
U+458F: chǔ,chù  # 䖏
U+45AE: xiǎng  # 䖮
U+45B3: zhà  # 䖳
U+45D6: dì  # 䗖
U+45DB: xiū  # 䗛
U+45EA: zhè  # 䗪
U+45FB: jié  # 䗻
U+460C: nì  # 䘌
U+4615: háng  # 䘕
U+462E: sāng,sàng  # 䘮
U+464C: kuì  # 䙌
U+473A: chǎi  # 䜺
U+474B: zòng  # 䝋
U+475F: yà  # 䝟
U+478D: qíng  # 䞍
U+4793: chēng  # 䞓
U+47E1: zhī  # 䟡
U+4800: tāng  # 䠀
U+480A: fèi  # 䠊
U+4831: zhú  # 䠱
U+48BA: chū  # 䢺
U+490C: qiāng  # 䤌
U+4928: pì  # 䤨
U+493C: xiàn  # 䤼
U+4947: shàn  # 䥇
U+4955: piě  # 䥕
U+495B: jiē  # 䥛
U+497D: pō  # 䥽
U+4983: zhuō  # 䦃
U+4986: jué  # 䦆
U+49B6: zhèng  # 䦶
U+49B7: chuài  # 䦷
U+49E1: yōng  # 䧡
