# 手工纠正错误的拼音数据
# 井号开头的行将会被忽略，可以用作注释
# 数据格式：{code point}: {pinyins}  # {hanzi}
# 示例：
# U+4E2D: zhōng,zhòng  # 中
U+5353: zhuó,zhuō  # 卓
U+5565: shá,shà  # 啥
U+5666: yuě,huì  # 噦
U+59B3: nǐ,nǎi  # 妳
U+8BB8: xǔ,hǔ  # 许
U+94AD: tǒu,dǒu  # 钭
U+9E00: chǔ,zhú,chù  # 鸀
U+E815: yè  # 
U+E816: zuǒ,yǒu  # 
U+E81B: zhòu,zhū  # 
U+E81D: jié,jiē  # 
U+E824: zhòu  # 
U+E826: shǒu  # 
U+E82B: fēng  # 
U+E82C: gòng  # 
U+E82E: huì,kuì  # 
U+E830: jiān  # 
U+E831: ēn  # 
U+E832: xiǎo  # 
U+E834: lóu,lǘ  # 
U+E835: cǎn,shān,cēn  # 
U+E836: zhú  # 
U+E838: wǎng  # 
U+E83A: yáng,xiáng  # 
U+E83D: bà,bēi  # 
U+E83F: zhuān,zhuán,chuǎn,chún  # 
U+E842: kuì,huì  # 
U+E843: juǎn  # 
U+E846: qíng  # 
U+E84A: yé,yá  # 
U+E850: chuài  # 
U+E854: zhuó  # 
U+E864: luán  # 
U+241FE: yíng  # 𤇾
U+275C8: nú  # 𧗈
U+47C1: xiāo,chāo  # 䟁
U+9EBF: mí  # 麿
U+7C17: zhù  # 簗
U+8279: cǎo  # 艹
U+88CF: lǐ  # 裏
U+88E1: lǐ  # 裡
U+5206: fēn,fèn,fén  # 分
U+208E1: fèng  # 𠣡
U+2589F: hù  # 𥢟
U+258F9: ràn  # 𥣹
U+287B3: qú  # 𨞳
U+2A008: yuān  # 𪀈
U+9EFE: mǐn,miǎn,měng  # 黾
U+55A3: xǔ  # 喣
U+529A: zhú  # 劚
U+532E: kuì,guì  # 匮
U+9400: kuì,guì  # 鐀
U+87AB: shì,zhē  # 螫
U+5C82: qǐ,kǎi  # 岂
U+534E: huá,huà,huā  # 华
U+5455: ǒu,ōu,òu  # 呕
U+4ECE: cóng,zòng  # 从
U+513F: ér,er,rén  # 儿
